traffic_year,vehicle_class,traffic_volume
2017,합계,1750655
2017,소형차,1528827
2017,중형차,49250
2017,대형차,172578
2018,합계,1771960
2018,소형차,1548012
2018,중형차,47711
2018,대형차,176237
2019,합계,1821633
2019,소형차,1597366
2019,중형차,46609
2019,대형차,177658
2020,합계,1776552
2020,소형차,1562097
2020,중형차,45640
2020,대형차,168816
2021,합계,1874094
2021,소형차,1647430
2021,중형차,47306
2021,대형차,179358
2022,합계,1959163
2022,소형차,1727631
2022,중형차,48135
2022,대형차,183397
2023,합계,2044465
2023,소형차,1806437
2023,중형차,48906
2023,대형차,189122
2024,합계,2157394
2024,소형차,1910595
2024,중형차,51169
2024,대형차,195630